woj,area,population,cena
Dolnoœl¹skie,19947,2909997,4827
Kujawsko-pomorskie,17972,2092564,4663
Lubelskie,25122,2156150,5337
Lubuskie,13988,1021470,3801
£ódzkie,18219,2513093,5078
Ma³opolskie,15183,3360581,7250
Mazowieckie,35558,5316840,7646
Opolskie,9412,1004416,3828
Podkarpackie,17846,2129294,4799
Podlaskie,20187,1194965,5126
Pomorskie,18310,2295811,6751
Œl¹skie,12333,4599447,3988
Œwiêtokrzyskie,11711,1268239,4709
Warmiñsko-mazurskie,24173,1446915,4242
Wielkopolskie,29826,3467016,4760
Zachodniopomorskie,22892,1718861,4777
